canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,related_is_text,notification_title,title_vernacular
NOTIFICATION,NOTIF-01153,,125,109.,IS 6603:2001,स्टेनलेस स्टील बार एवं फ्लैट,
NOTIFICATION,NOTIF-00901,,126,110.,IS 5522:2014,बर्तनों हेतु स्टेनलेस स्टील शीट एवं स्ट्रिप — विनिर्देश,
NOTIFICATION,NOTIF-01151,,127,111.,IS 6911:2017,"स्टेनलेस स्टील प्लेट, शीट एवं स्ट्रिप — विनिर्देश",
NOTIFICATION,NOTIF-00900,,128,112.,IS 15997:2012,बर्तनों एवं रसोई उपयोग हेतु निम्न निकल ऑस्टेनिटिक स्टेनलेस स्टील शीट एवं स्ट्रिप — विनिर्देश,
NOTIFICATION,NOTIF-00881,,129,113.,IS 1110 : 1990,फेरोसिलिकॉन — विनिर्देश,
NOTIFICATION,NOTIF-00878,,130,114.,IS 4409 : 1973,फेरोनिकल हेतु विनिर्देश,
NOTIFICATION,NOTIF-01183,,131,115.,IS 1029 : 1970,हॉट रोल्ड स्टील स्ट्रिप (बेलिंग) हेतु विनिर्देश,
NOTIFICATION,NOTIF-00607,,132,116.,IS 2385 : 1977,कोल्ड-रिड्यूस्ड टिनप्लेट एवं कोल्ड-रिड्यूस्ड ब्लैक प्लेट हेतु कॉइल रूप में हॉट रोल्ड माइल्ड स्टील शीट एवं स्ट्रिप का विनिर्देश,
NOTIFICATION,NOTIF-00690,,133,117.,IS 3039 : 1988,जहाजों के हुल निर्माण हेतु संरचनात्मक स्टील का विनिर्देश,
NOTIFICATION,NOTIF-00920,,134,118.,IS 9550 : 2001,ब्राइट स्टील बार — विनिर्देश,
NOTIFICATION,NOTIF-00707,,135,119.,IS 3748 : 1990,टूल एवं डाई स्टील — विनिर्देश,
NOTIFICATION,NOTIF-01175,,136,120.,IS 5517 : 1993,हार्डनिंग एवं टेम्परिंग हेतु स्टील — विनिर्देश,
NOTIFICATION,NOTIF-00643,,137,121.,IS 16732 : 2019,गैल्वेनाइज्ड संरचनात्मक स्टील — विनिर्देश,
NOTIFICATION,NOTIF-00485,,138,122.,IS 7494 : 1981,आंतरिक दहन इंजनों के वाल्वों हेतु स्टील — विनिर्देश,
NOTIFICATION,NOTIF-00764,,139,123.,IS 12146 : 1987,दाब पात्रों हेतु कार्बन मैंगनीज स्टील फोर्जिंग्स — विनिर्देश,
