is_id,canonical_is_number,manufacturer_count,licence_count,source_file_id,source_file,source_sheet,source_row,record_disposition
STD-01014,STD-2553,17,18,F043,output__fmcs_is_coverage.csv,,247,CANONICAL
STD-01014,STD-2553,43,48,F043,output__fmcs_is_coverage.csv,,248,CANONICAL
STD-01020,STD-2566,2,2,F043,output__fmcs_is_coverage.csv,,249,CANONICAL
STD-01028,STD-2590,7,7,F043,output__fmcs_is_coverage.csv,,250,CANONICAL
STD-01041,STD-269,36,36,F043,output__fmcs_is_coverage.csv,,251,CANONICAL
STD-01054,STD-277,24,26,F043,output__fmcs_is_coverage.csv,,252,CANONICAL
STD-01043,STD-27,1,1,F043,output__fmcs_is_coverage.csv,,253,CANONICAL
STD-01062,STD-280,8,8,F043,output__fmcs_is_coverage.csv,,254,CANONICAL
STD-01069,STD-2835,1,1,F043,output__fmcs_is_coverage.csv,,255,CANONICAL
STD-01073,STD-2879,2,2,F043,output__fmcs_is_coverage.csv,,256,CANONICAL
STD-01079,STD-2925,1,1,F043,output__fmcs_is_coverage.csv,,257,CANONICAL
STD-01085,STD-2993,15,15,F043,output__fmcs_is_coverage.csv,,258,CANONICAL
STD-01090,STD-302-P1,33,37,F043,output__fmcs_is_coverage.csv,,259,CANONICAL
STD-01091,STD-302-P2,1,1,F043,output__fmcs_is_coverage.csv,,260,CANONICAL
STD-01091,STD-302-P2,6,6,F043,output__fmcs_is_coverage.csv,,261,CANONICAL
STD-01091,STD-302-P2,2,2,F043,output__fmcs_is_coverage.csv,,262,CANONICAL
STD-01091,STD-302-P2,3,3,F043,output__fmcs_is_coverage.csv,,263,CANONICAL
STD-01091,STD-302-P2,2,2,F043,output__fmcs_is_coverage.csv,,264,CANONICAL
STD-01091,STD-302-P2,8,8,F043,output__fmcs_is_coverage.csv,,265,CANONICAL
STD-01091,STD-302-P2,14,15,F043,output__fmcs_is_coverage.csv,,266,CANONICAL
STD-01091,STD-302-P2,2,2,F043,output__fmcs_is_coverage.csv,,267,CANONICAL
STD-01089,STD-302,9,10,F043,output__fmcs_is_coverage.csv,,268,CANONICAL
STD-01089,STD-302,3,3,F043,output__fmcs_is_coverage.csv,,269,CANONICAL
STD-01089,STD-302,7,7,F043,output__fmcs_is_coverage.csv,,270,CANONICAL
STD-01089,STD-302,4,4,F043,output__fmcs_is_coverage.csv,,271,CANONICAL
STD-01092,STD-3024,12,13,F043,output__fmcs_is_coverage.csv,,272,CANONICAL
STD-01094,STD-303,31,31,F043,output__fmcs_is_coverage.csv,,273,CANONICAL
STD-01094,STD-303,27,27,F043,output__fmcs_is_coverage.csv,,274,CANONICAL
STD-01096,STD-3055,1,1,F043,output__fmcs_is_coverage.csv,,275,CANONICAL
STD-01100,STD-3087,5,5,F043,output__fmcs_is_coverage.csv,,276,CANONICAL
STD-01142,STD-3470,1,1,F043,output__fmcs_is_coverage.csv,,277,CANONICAL
STD-01147,STD-3564,6,6,F043,output__fmcs_is_coverage.csv,,278,CANONICAL
STD-01149,STD-3566,1,1,F043,output__fmcs_is_coverage.csv,,279,CANONICAL
STD-01149,STD-3566,2,2,F043,output__fmcs_is_coverage.csv,,280,CANONICAL
STD-01151,STD-3589,1,1,F043,output__fmcs_is_coverage.csv,,281,CANONICAL
STD-01152,STD-3601,8,8,F043,output__fmcs_is_coverage.csv,,282,CANONICAL
STD-01170,STD-3735,4,4,F043,output__fmcs_is_coverage.csv,,283,CANONICAL
STD-01172,STD-374,3,3,F043,output__fmcs_is_coverage.csv,,284,CANONICAL
STD-01174,STD-3748,2,2,F043,output__fmcs_is_coverage.csv,,285,CANONICAL
STD-01174,STD-3748,24,25,F043,output__fmcs_is_coverage.csv,,286,CANONICAL
STD-01183,STD-3832,1,1,F043,output__fmcs_is_coverage.csv,,287,CANONICAL
STD-01185,STD-3854,1,1,F043,output__fmcs_is_coverage.csv,,288,CANONICAL
STD-01185,STD-3854,1,1,F043,output__fmcs_is_coverage.csv,,289,CANONICAL
STD-01194,STD-3975,5,5,F043,output__fmcs_is_coverage.csv,,290,CANONICAL
STD-01197,STD-398-P2,1,1,F043,output__fmcs_is_coverage.csv,,291,CANONICAL
STD-01198,STD-398-P6,1,1,F043,output__fmcs_is_coverage.csv,,292,CANONICAL
STD-01196,STD-398,2,2,F043,output__fmcs_is_coverage.csv,,293,CANONICAL
STD-01196,STD-398,2,2,F043,output__fmcs_is_coverage.csv,,294,CANONICAL
STD-01206,STD-4026,4,4,F043,output__fmcs_is_coverage.csv,,295,CANONICAL
STD-01211,STD-4072,3,3,F043,output__fmcs_is_coverage.csv,,296,CANONICAL
STD-01213,STD-4105,1,1,F043,output__fmcs_is_coverage.csv,,297,CANONICAL
STD-01213,STD-4105,1,1,F043,output__fmcs_is_coverage.csv,,298,CANONICAL
STD-01213,STD-4105,4,4,F043,output__fmcs_is_coverage.csv,,299,CANONICAL
STD-01220,STD-4151,10,10,F043,output__fmcs_is_coverage.csv,,300,CANONICAL
STD-01221,STD-4159,2,2,F043,output__fmcs_is_coverage.csv,,301,CANONICAL
STD-01222,STD-4171,1,1,F043,output__fmcs_is_coverage.csv,,302,CANONICAL
STD-01230,STD-4250,4,4,F043,output__fmcs_is_coverage.csv,,303,CANONICAL
STD-01230,STD-4250,1,1,F043,output__fmcs_is_coverage.csv,,304,CANONICAL
